line_name,planning_year,case,start_region,dest_region,value
SRCE_to_SRSE,2040,full-base-200,SRCE,SRSE,5.666666666666667
SRCA_to_SRCE,2040,full-base-200,SRCA,SRCE,16.0
BASN_to_NWPP,2050,full-base-200,BASN,NWPP,0.0
SRCA_to_SRCE,2045,full-base-200,SRCA,SRCE,43.0
BASN_to_NWPP,2045,full-base-200,BASN,NWPP,0.0
SRCA_to_SRCE,2050,full-base-200,SRCA,SRCE,162.25
SRCA_to_SRSE,2027,full-base-200,SRCA,SRSE,0.0
BASN_to_NWPP,2040,full-base-200,BASN,NWPP,0.0
SRCA_to_SRSE,2030,full-base-200,SRCA,SRSE,0.5
BASN_to_NWPP,2035,full-base-200,BASN,NWPP,0.0
BASN_to_CASO,2040,full-base-200,BASN,CASO,0.0
SRCA_to_SRSE,2035,full-base-200,SRCA,SRSE,4.666666666666667
BASN_to_NWPP,2030,full-base-200,BASN,NWPP,0.5
SRCA_to_SRSE,2045,full-base-200,SRCA,SRSE,0.0
BASN_to_NWPP,2027,full-base-200,BASN,NWPP,0.5
SRCA_to_SRSE,2050,full-base-200,SRCA,SRSE,4.666666666666667
SRCE_to_SRSE,2027,full-base-200,SRCE,SRSE,0.0
BASN_to_CASO,2050,full-base-200,BASN,CASO,0.0
SRCE_to_SRSE,2030,full-base-200,SRCE,SRSE,2.0
BASN_to_CASO,2045,full-base-200,BASN,CASO,0.0
SRCE_to_SRSE,2035,full-base-200,SRCE,SRSE,8.333333333333334
SRCA_to_SRSE,2040,full-base-200,SRCA,SRSE,0.0
SPPC_to_SPPS,2045,full-base-200,SPPC,SPPS,371.0
MISS_to_SPPC,2027,full-base-200,MISS,SPPC,2.5
SPPC_to_SPPN,2045,full-base-200,SPPC,SPPN,39.333333333333336
CASO_to_SRSG,2045,full-base-200,CASO,SRSG,1115.5
CASO_to_NWPP,2035,full-base-200,CASO,NWPP,0.0
RMRG_to_SRSG,2035,full-base-200,RMRG,SRSG,1225.5
CASO_to_SRSG,2030,full-base-200,CASO,SRSG,2590.0
RMRG_to_SPPN,2035,full-base-200,RMRG,SPPN,536.0
SPPC_to_SPPS,2030,full-base-200,SPPC,SPPS,1.5
SPPC_to_SPPN,2027,full-base-200,SPPC,SPPN,1590.0
CASO_to_NWPP,2027,full-base-200,CASO,NWPP,0.0
SPPC_to_SPPN,2035,full-base-200,SPPC,SPPN,56.666666666666664
CASO_to_NWPP,2040,full-base-200,CASO,NWPP,0.0
SPPC_to_SPPN,2040,full-base-200,SPPC,SPPN,37.666666666666664
CANO_to_NWPP,2050,full-base-200,CANO,NWPP,4.666666666666667
RMRG_to_SPPN,2040,full-base-200,RMRG,SPPN,780.0
RMRG_to_SPPN,2045,full-base-200,RMRG,SPPN,1040.5
SPPC_to_SPPS,2027,full-base-200,SPPC,SPPS,0.0
